Verifier,Detector+Descriptor,UIF-UB (Essential Mat),UIF-UB (Fundamental Matrix)
ransac,dog_brief,0.00%,0.00%
ransac,dog_convopt,0.00%,0.00%
ransac,dog_hardnet,0.00%,0.00%
ransac,dog_openucn,0.00%,0.00%
ransac,dog_rootsift,0.00%,0.00%
ransac,dog_siftnet,0.00%,0.00%
ransac,surf_convopt,0.00%,0.00%
oanet,harrisnet_brief,0.00%,0.00%
oanet,harrislaplace_tfeat,0.00%,0.00%
oanet,harrislaplace_surf,0.00%,0.00%
oanet,harrislaplace_siftpca,0.00%,0.00%
oanet,harrislaplace_sift,0.00%,0.00%
oanet,glampoints_surf,0.00%,0.00%
oanet,harrislaplace_rootsift,0.00%,0.00%
oanet,harrislaplace_openucn,0.00%,0.00%
oanet,harrislaplace_convopt,0.00%,0.00%
oanet,harrislaplace_brief,0.00%,0.00%
oanet,harris_surf,0.00%,0.00%
ransac,surf_hardnet,0.00%,0.00%
ransac,surf_openucn,0.00%,0.00%
ransac,surf_rootsift,0.00%,0.00%
ransac,mser_siftpca,0.00%,0.00%
ransac,fast_brief,0.00%,0.00%
ransac,fast_convopt,0.00%,0.00%
ransac,d2net,0.00%,0.00%
oanet,harrisnet_surf,,
oanet,harrisnet_tfeat,,
ransac,surf_brief,,
oanet,mser_tfeat,,
oanet,mser_surf,,
oanet,mser_siftpca,,
ngransac,fast_openucn,,
oanet,mser_sift,,
oanet,surf_brief,,
ransac,orb,,
ransac,mser_tfeat,,
ransac,mser_surf,,
oanet,surf_sift,,
oanet,surf_siftpca,,
oanet,mser_brief,,
oanet,keynet_tfeat,,
ransac,brief,,
oanet,keynet_surf,,
oanet,keynet_siftpca,,
ransac,brisk,,
oanet,keynet_sift,,
ransac,contextdesc,,
ransac,r2d2,,
ransac,mser_rootsift,,
oanet,keynet_brief,,
oanet,kaze,,
oanet,harris_brief,,
oanet,glampoints_siftpca,,
ransac,glampoints_sift,,
ngransac,keynet_sift,,
ngransac,mser_siftnet,,
ngransac,mser_sift,,
ngransac,mser_rootsift,,
ngransac,mser_openucn,,
ngransac,mser_hardnet,,
ngransac,mser_convopt,,
ngransac,mser_brief,,
ngransac,keynet_tfeat,,
ngransac,keynet_surf,,
ngransac,keynet_siftpca,,
ngransac,keynet_siftnet,,
ngransac,keynet_rootsift,,
oanet,glampoints_siftnet,,
ngransac,keynet_openucn,,
ngransac,keynet_convopt,,
ngransac,keynet_brief,,
ngransac,kaze,,
ngransac,harrisnet_tfeat,,
ngransac,harrisnet_surf,,
ransac,glampoints_convopt,,
ransac,glampoints_hardnet,,
ransac,glampoints_openucn,,
ransac,glampoints_rootsift,,
ngransac,harrisnet_siftnet,,
ngransac,mser_siftpca,,
ngransac,mser_surf,,
ngransac,mser_tfeat,,
ngransac,orb,,
oanet,glampoints_sift,,
oanet,glampoints_rootsift,,
oanet,glampoints_openucn,,
oanet,glampoints_brief,,
oanet,fast_tfeat,,
ransac,fast_openucn,,
ransac,mser_siftnet,,
oanet,fast_brief,,
ransac,surf_siftnet,,
ransac,fast_rootsift,,
oanet,dog_brief,,
ransac,fast_siftnet,,
ransac,fast_tfeat,,
ngransac,surf_surf,,
ngransac,surf_siftpca,,
ngransac,surf_sift,,
ngransac,surf_rootsift,,
ngransac,surf_openucn,,
ransac,glampoints_brief,,
ngransac,surf_convopt,,
ngransac,surf_brief,,
ngransac,superpoint,,
ngransac,r2d2,,
ransac,mser_sift,,
eigfree,brief,,
ngransac,fast_brief,,
lmeds,glampoints_tfeat,,
lmeds,glampoints_hardnet,,
lmeds,glampoints_openucn,,
lmeds,glampoints_rootsift,,
lmeds,glampoints_siftnet,,
lmeds,glampoints_siftpca,,
lmeds,glampoints_surf,,
lmeds,harris_brief,,
lmeds,glampoints_brief,,
lmeds,harris_convopt,,
lmeds,harris_hardnet,,
lmeds,harris_openucn,,
lmeds,harris_rootsift,,
lmeds,harris_surf,,
lmeds,harrislaplace_brief,,
lmeds,glampoints_convopt,,
lmeds,fast_tfeat,,
learned_corr,mser_sift,,
lmeds,brisk,,
learned_corr,mser_surf,,
learned_corr,mser_tfeat,,
learned_corr,surf_sift,,
learned_corr,surf_siftpca,,
learned_corr,surf_tfeat,,
lmeds,brief,,
lmeds,d2net,,
lmeds,fast_siftnet,,
lmeds,dog_brief,,
lmeds,dog_openucn,,
lmeds,fast_brief,,
lmeds,fast_hardnet,,
lmeds,fast_openucn,,
lmeds,fast_rootsift,,
lmeds,harrislaplace_convopt,,
lmeds,harrislaplace_hardnet,,
lmeds,harrislaplace_openucn,,
lmeds,mser_sift,,
lmeds,keynet_siftnet,,
lmeds,keynet_surf,,
lmeds,lfnet,,
lmeds,lift,,
lmeds,mser_brief,,
lmeds,mser_openucn,,
lmeds,mser_siftnet,,
lmeds,harrislaplace_rootsift,,
lmeds,mser_siftpca,,
lmeds,mser_surf,,
lmeds,mser_tfeat,,
lmeds,r2d2,,
lmeds,surf_brief,,
lmeds,surf_convopt,,
lmeds,keynet_rootsift,,
lmeds,keynet_openucn,,
lmeds,keynet_convopt,,
lmeds,keynet_brief,,
lmeds,kaze,,
lmeds,harrisnet_surf,,
lmeds,harrisnet_siftnet,,
lmeds,harrisnet_rootsift,,
lmeds,harrisnet_openucn,,
lmeds,harrisnet_hardnet,,
lmeds,harrisnet_convopt,,
lmeds,harrisnet_brief,,
lmeds,harrislaplace_tfeat,,
lmeds,harrislaplace_surf,,
lmeds,harrislaplace_siftpca,,
lmeds,harrislaplace_siftnet,,
lmeds,harrislaplace_sift,,
learned_corr,mser_siftpca,,
learned_corr,mser_brief,,
lmeds,surf_rootsift,,
eigfree,kaze,,
eigfree,harrislaplace_tfeat,,
eigfree,harrisnet_brief,,
eigfree,harrisnet_sift,,
eigfree,harrisnet_siftpca,,
eigfree,harrisnet_surf,,
eigfree,harrisnet_tfeat,,
eigfree,keynet_brief,,
eigfree,harrislaplace_siftpca,,
eigfree,keynet_sift,,
eigfree,keynet_siftpca,,
eigfree,keynet_surf,,
eigfree,keynet_tfeat,,
eigfree,lift,,
eigfree,mser_brief,,
eigfree,harrislaplace_surf,,
eigfree,harrislaplace_sift,,
learned_corr,lift,,
eigfree,fast_tfeat,,
eigfree,dog_brief,,
eigfree,dog_sift,,
eigfree,dog_surf,,
eigfree,dog_tfeat,,
eigfree,fast_sift,,
eigfree,fast_siftpca,,
eigfree,glampoints_brief,,
eigfree,harrislaplace_brief,,
eigfree,glampoints_sift,,
eigfree,glampoints_siftpca,,
eigfree,glampoints_surf,,
eigfree,glampoints_tfeat,,
eigfree,harris_surf,,
eigfree,harris_tfeat,,
eigfree,mser_rootsift,,
eigfree,mser_sift,,
eigfree,mser_siftnet,,
learned_corr,harrisnet_surf,,
learned_corr,harrislaplace_siftpca,,
learned_corr,harrislaplace_surf,,
learned_corr,harrislaplace_tfeat,,
learned_corr,harrisnet_brief,,
learned_corr,harrisnet_sift,,
learned_corr,harrisnet_siftpca,,
learned_corr,harrisnet_tfeat,,
eigfree,mser_siftpca,,
learned_corr,kaze,,
learned_corr,keynet_brief,,
learned_corr,keynet_sift,,
learned_corr,keynet_siftpca,,
learned_corr,keynet_surf,,
learned_corr,keynet_tfeat,,
learned_corr,harrislaplace_sift,,
learned_corr,harris_surf,,
learned_corr,glampoints_tfeat,,
learned_corr,glampoints_surf,,
learned_corr,glampoints_siftpca,,
learned_corr,glampoints_sift,,
learned_corr,glampoints_brief,,
learned_corr,fast_tfeat,,
learned_corr,fast_siftpca,,
learned_corr,dog_tfeat,,
learned_corr,dog_surf,,
learned_corr,brief,,
eigfree,surf_tfeat,,
eigfree,surf_siftpca,,
eigfree,surf_sift,,
eigfree,mser_tfeat,,
eigfree,mser_surf,,
lmeds,surf_openucn,,
lmeds,surf_siftnet,,
ngransac,dog_tfeat,,
mlesac,surf_surf,,
mlesac,surf_hardnet,,
mlesac,surf_openucn,,
mlesac,surf_rootsift,,
mlesac,surf_sift,,
mlesac,surf_siftnet,,
mlesac,surf_siftpca,,
mlesac,surf_tfeat,,
mlesac,surf_brief,,
n3net,dog_brief,,
n3net,dog_surf,,
n3net,dog_tfeat,,
n3net,fast_sift,,
n3net,fast_siftpca,,
n3net,fast_tfeat,,
mlesac,surf_convopt,,
mlesac,superpoint,,
mlesac,keynet_surf,,
mlesac,mser_rootsift,,
mlesac,lfnet,,
mlesac,lift,,
mlesac,mser_brief,,
mlesac,mser_convopt,,
mlesac,mser_hardnet,,
mlesac,mser_openucn,,
mlesac,mser_sift,,
mlesac,sift,,
mlesac,mser_siftnet,,
mlesac,mser_siftpca,,
mlesac,mser_surf,,
mlesac,mser_tfeat,,
mlesac,orb,,
mlesac,r2d2,,
n3net,glampoints_brief,,
n3net,glampoints_sift,,
n3net,glampoints_siftpca,,
n3net,mser_tfeat,,
n3net,keynet_tfeat,,
n3net,lift,,
n3net,mser_brief,,
n3net,mser_sift,,
n3net,mser_siftpca,,
n3net,mser_surf,,
n3net,surf_sift,,
n3net,glampoints_surf,,
n3net,surf_siftpca,,
n3net,surf_tfeat,,
ngransac,brief,,
ngransac,d2net,,
